Sample Size,Mean Estimate,Lower Bound,Upper Bound
1.0,1.2279106852377826,1.2228301766988705,1.2329911937766946
2.0,1.1632445513007896,1.1581640427618776,1.1683250598397017
3.0,1.190186328972369,1.185105820433457,1.1952668375112812
4.0,1.1445210704726123,1.1394405619337002,1.1496015790115244
5.0,1.1149314799685182,1.109850971429606,1.1200119885074302
6.0,1.0716218580651569,1.0665413495262448,1.076702366604069
7.0,1.0818033375188663,1.0767228289799542,1.0868838460577783
8.0,1.0722712585947745,1.0671907500558624,1.0773517671336865
9.0,1.0394698709302344,1.0343893623913223,1.0445503794691464
10.0,1.0258723610027498,1.0207918524638377,1.0309528695416619
11.0,1.0156145917202783,1.0105340831813663,1.0206951002591904
12.0,1.0107815531739706,1.0057010446350585,1.0158620617128826
13.0,1.007317602343011,1.002237093804099,1.012398110881923
14.0,1.0162172355513233,1.0111367270124112,1.0212977440902353
15.0,1.017659996362508,1.0125794878235959,1.02274050490142
16.0,1.0132413398944033,1.0081608313554913,1.0183218484333154
17.0,1.0139289227842039,1.0088484142452918,1.019009431323116
18.0,1.0049822951184686,0.9999017865795564,1.0100628036573807
19.0,1.0032716625323221,0.99819115399341,1.0083521710712342
20.0,1.0184654639338881,1.013384955394976,1.0235459724728002
21.0,1.0167256389065595,1.0116451303676475,1.0218061474454716
22.0,1.0185263104081235,1.0134458018692114,1.0236068189470355
23.0,1.0127375437901391,1.007657035251227,1.0178180523290512
24.0,1.0060200151479664,1.0009395066090543,1.0111005236868784
25.0,1.0080877791538072,1.0030072706148951,1.0131682876927193
26.0,1.0075827628486442,1.0025022543097322,1.0126632713875563
27.0,1.0063297905949096,1.0012492820559975,1.0114102991338216
28.0,1.003596534774613,0.9985160262357008,1.008677043313525
29.0,1.0098694673834558,1.0047889588445438,1.014949975922368
30.0,1.011011441904611,1.005930933365699,1.016091950443523
31.0,1.010630173996072,1.0055496654571598,1.015710682534984
32.0,1.0091584900152606,1.0040779814763485,1.0142389985541727
33.0,1.0075450439272493,1.0024645353883372,1.0126255524661614
34.0,1.004721880045389,0.9996413715064768,1.009802388584301
35.0,1.007746934900672,1.00266642636176,1.012827443439584
36.0,1.0059399467616625,1.0008594382227505,1.0110204553005746
37.0,1.0038694455850585,0.9987889370461464,1.0089499541239706
38.0,1.0051741102259493,1.0000936016870372,1.0102546187648613
39.0,1.003520951762709,0.9984404432237969,1.0086014603016211
40.0,1.0007459126945,0.9956654041555878,1.005826421233412
41.0,0.9967484252363644,0.9916679166974522,1.0018289337752766
42.0,1.0013693243102506,0.9962888157713384,1.0064498328491627
43.0,1.0022055923192659,0.9971250837803537,1.007286100858178
44.0,1.0025589801334045,0.9974784715944923,1.0076394886723166
45.0,1.0024880935574028,0.9974075850184906,1.0075686020963148
46.0,0.9986853769617909,0.9936048684228788,1.003765885500703
47.0,0.999448635095477,0.9943681265565648,1.004529143634389
48.0,0.9984730174265372,0.993392508887625,1.0035535259654493
49.0,0.9966037104239738,0.9915232018850616,1.0016842189628858
50.0,0.9979264237089892,0.992845915170077,1.0030069322479014
51.0,0.999128834651195,0.9940483261122828,1.0042093431901071
52.0,0.9989943225430067,0.9939138140040945,1.0040748310819188
53.0,1.0001890934767697,0.9951085849378575,1.0052696020156817
54.0,0.9992887056779367,0.9942081971390245,1.0043692142168488
55.0,0.9999153481236767,0.9948348395847645,1.0049958566625887
56.0,0.9979358458031192,0.992855337264207,1.0030163543420314
57.0,0.9973305164216829,0.9922500078827707,1.002411024960595
58.0,0.9963914347697209,0.9913109262308087,1.001471943308633
59.0,0.995090203088389,0.9900096945494768,1.000170711627301
60.0,0.9941716649093828,0.9890911563704706,0.999252173448295
61.0,0.995441047602226,0.9903605390633138,1.000521556141138
62.0,0.9936276235422651,0.9885471150033529,0.9987081320811773
63.0,0.9933773737200325,0.9882968651811204,0.9984578822589447
64.0,0.9959550379562793,0.9908745294173671,1.0010355464951914
65.0,0.9931527146079762,0.988072206069064,0.9982332231468883
66.0,0.9940184137725503,0.9889379052336381,0.9990989223114625
67.0,0.9937343751188152,0.9886538665799031,0.9988148836577274
68.0,0.9923533928848185,0.9872728843459063,0.9974339014237307
69.0,0.9934627732392204,0.9883822647003082,0.9985432817781326
70.0,0.9913631023449593,0.9862825938060471,0.9964436108838715
71.0,0.9929470773288244,0.9878665687899122,0.9980275858677365
72.0,0.9909559352927731,0.985875426753861,0.9960364438316853
73.0,0.9919917012694895,0.9869111927305774,0.9970722098084017
74.0,0.9948638773693688,0.9897833688304566,0.9999443859082809
75.0,0.9941135969584294,0.9890330884195172,0.9991941054973416
76.0,0.9953630354582732,0.990282526919361,1.0004435439971853
77.0,0.9972778924643565,0.9921973839254443,1.0023584010032687
78.0,0.9977279264870998,0.9926474179481877,1.002808435026012
79.0,0.999376517500243,0.9942960089613309,1.0044570260391552
80.0,0.9986707179776166,0.9935902094387045,1.0037512265165287
81.0,0.9989625971301398,0.9938820885912276,1.004043105669052
82.0,0.9999873177746681,0.9949068092357559,1.0050678263135802
83.0,0.9993555884999121,0.994275079961,1.0044360970388242
84.0,0.9989576576904301,0.9938771491515179,1.0040381662293423
85.0,0.9982213277823111,0.9931408192433989,1.0033018363212232
86.0,0.999457722333094,0.9943772137941819,1.004538230872006
