Sample Size,Mean Estimate,Lower Bound,Upper Bound
1.0,1.0027739757698966,1.0011578710419633,1.0043900804978299
2.0,1.0047760014897613,1.003159896761828,1.0063921062176946
3.0,0.9864965868181056,0.9848804820901722,0.988112691546039
4.0,0.9815775648166531,0.9799614600887198,0.9831936695445865
5.0,0.9809615885157472,0.9793454837878138,0.9825776932436806
6.0,0.9862846656892924,0.984668560961359,0.9879007704172258
7.0,0.9851242688695322,0.9835081641415988,0.9867403735974656
8.0,0.9862533823975008,0.9846372776695674,0.9878694871254342
9.0,0.9924978361778609,0.9908817314499275,0.9941139409057943
10.0,0.9912504271561877,0.9896343224282543,0.9928665318841211
11.0,0.9936053040968559,0.9919891993689225,0.9952214088247893
12.0,0.9967210682946336,0.9951049635667002,0.998337173022567
13.0,0.9957920040406262,0.9941758993126928,0.9974081087685596
14.0,0.9992058357988661,0.9975897310709327,1.0008219405267995
15.0,0.9985883473817416,0.9969722426538082,1.000204452109675
16.0,0.9966853646892786,0.9950692599613452,0.998301469417212
17.0,0.9947181533004323,0.993102048572499,0.9963342580283657
18.0,0.9941557044761677,0.9925395997482344,0.9957718092041011
19.0,0.9967620864375212,0.9951459817095878,0.9983781911654546
20.0,0.9948718383916431,0.9932557336637097,0.9964879431195764
21.0,0.9954845620119761,0.9938684572840427,0.9971006667399095
22.0,0.9975195115000695,0.9959034067721361,0.9991356162280028
23.0,0.9977516830125867,0.9961355782846533,0.99936778774052
24.0,0.9969338164926457,0.9953177117647123,0.9985499212205791
25.0,0.9964927198507025,0.9948766151227691,0.9981088245786359
26.0,0.9960154235231903,0.9943993187952569,0.9976315282511237
27.0,0.9961400855389763,0.9945239808110429,0.9977561902669096
28.0,0.9957748265351387,0.9941587218072053,0.9973909312630721
29.0,0.9974950200312653,0.995878915303332,0.9991111247591987
30.0,0.9979860182645687,0.9963699135366353,0.9996021229925021
31.0,0.9975524121385357,0.9959363074106024,0.9991685168664691
32.0,0.997911361655738,0.9962952569278046,0.9995274663836714
33.0,0.9981723806272238,0.9965562758992904,0.9997884853551572
34.0,0.9975248416129143,0.9959087368849809,0.9991409463408477
35.0,0.9976203007850949,0.9960041960571615,0.9992364055130283
36.0,0.997409341036489,0.9957932363085557,0.9990254457644224
37.0,0.9956152557999798,0.9939991510720464,0.9972313605279132
38.0,0.9950805777763942,0.9934644730484609,0.9966966825043276
39.0,0.9963719084686684,0.994755803740735,0.9979880131966018
40.0,0.9956960717171859,0.9940799669892525,0.9973121764451193
41.0,0.9954592784375272,0.9938431737095939,0.9970753831654606
42.0,0.9957827027340168,0.9941665980060834,0.9973988074619502
43.0,0.995884252272649,0.9942681475447156,0.9975003570005824
44.0,0.9963416785288853,0.994725573800952,0.9979577832568187
45.0,0.9957291803673155,0.9941130756393821,0.9973452850952489
46.0,0.9972373001339376,0.9956211954060042,0.998853404861871
47.0,0.997678616838878,0.9960625121109447,0.9992947215668114
48.0,0.9967244679667483,0.9951083632388149,0.9983405726946817
49.0,0.997264575837599,0.9956484711096656,0.9988806805655324
50.0,0.9978365364349577,0.9962204317070243,0.9994526411628911
51.0,0.9982700961925147,0.9966539914645813,0.9998862009204481
52.0,0.9989210207275755,0.9973049159996421,1.0005371254555089
53.0,0.9988424307618345,0.9972263260339012,1.000458535489768
54.0,0.9992804596535466,0.9976643549256132,1.00089656438148
55.0,0.9998532247703913,0.9982371200424579,1.0014693294983246
56.0,0.9996312997111894,0.998015194983256,1.0012474044391226
57.0,1.0001515078828016,0.9985354031548682,1.0017676126107349
58.0,1.000209618637557,0.9985935139096237,1.0018257233654904
59.0,0.9997296923935284,0.998113587665595,1.0013457971214617
60.0,0.9994625378029123,0.9978464330749789,1.0010786425308456
61.0,1.0001665311532073,0.9985504264252739,1.0017826358811406
62.0,1.0002727589039002,0.9986566541759668,1.0018888636318335
63.0,1.0005610084034726,0.9989449036755392,1.002177113131406
64.0,1.0002386312772389,0.9986225265493055,1.0018547360051722
65.0,0.9995971847019147,0.9979810799739813,1.001213289429848
66.0,0.9987823575634244,0.997166252835491,1.0003984622913578
67.0,0.999326885792377,0.9977107810644437,1.0009429905203104
68.0,0.9997609099910325,0.9981448052630991,1.0013770147189658
69.0,0.9996067166721392,0.9979906119442058,1.0012228214000725
70.0,0.9999913334340249,0.9983752287060915,1.0016074381619582
71.0,0.9994784771556414,0.997862372427708,1.0010945818835748
72.0,0.9996579742585934,0.99804186953066,1.0012740789865266
73.0,0.9997376036811434,0.99812149895321,1.0013537084090767
74.0,1.0003029018302878,0.9986867971023544,1.001919006558221
75.0,0.9999667423411277,0.9983506376131943,1.001582847069061
76.0,0.9994428472781147,0.9978267425501813,1.001058952006048
77.0,0.9997121518362777,0.9980960471083443,1.001328256564211
78.0,0.9996866388131522,0.9980705340852188,1.0013027435410855
79.0,0.9996686078604928,0.9980525031325594,1.001284712588426
80.0,0.9997531759745073,0.9981370712465739,1.0013692807024406
81.0,0.999956889072026,0.9983407843440926,1.0015729937999593
82.0,0.9998505962822511,0.9982344915543178,1.0014667010101845
83.0,0.9991227446071668,0.9975066398792334,1.0007388493351002
84.0,0.9986466136965132,0.9970305089685798,1.0002627184244466
85.0,0.9986584319008827,0.9970423271729493,1.000274536628816
86.0,0.9990250065858174,0.997408901857884,1.0006411113137508
87.0,0.9981206830614641,0.9965045783335307,0.9997367877893975
88.0,0.9985120874697538,0.9968959827418205,1.0001281921976872
89.0,0.9983740436667595,0.9967579389388261,0.9999901483946929
90.0,0.9981724409871624,0.996556336259229,0.9997885457150958
