"outer iteration","expectation estimate","lower bound","upper bound"
2.7000000000000000e+01,1.0219514383685719e+00,9.4776150609733134e-01,1.0979975308940326e+00
2.8000000000000000e+01,1.0228795184956820e+00,9.5131982460501463e-01,1.0964257404126774e+00
2.9000000000000000e+01,1.0238727825088461e+00,9.6206282802184662e-01,1.1098775870232171e+00
3.0000000000000000e+01,1.0359702075225319e+00,9.5046324806378557e-01,1.0995995572509574e+00
3.1000000000000000e+01,1.0250314026573715e+00,9.4774061870638282e-01,1.0932683154048355e+00
3.2000000000000000e+01,1.0205044670556092e+00,9.5480433214085492e-01,1.0976365817839286e+00
3.3000000000000000e+01,1.0262204569623918e+00,9.4903655148435850e-01,1.0900467963580718e+00
3.4000000000000000e+01,1.0195416739212151e+00,9.4859901116772427e-01,1.0858700973986597e+00
3.5000000000000000e+01,1.0172345542831920e+00,9.4442456866035385e-01,1.0794453473072070e+00
3.6000000000000000e+01,1.0119349579837804e+00,9.5273762497965631e-01,1.0881806976629957e+00
3.7000000000000000e+01,1.0204591613213261e+00,9.5789032520255590e-01,1.0905741914644671e+00
3.8000000000000000e+01,1.0242322583335115e+00,9.6403642013063617e-01,1.0948942260981656e+00
3.9000000000000000e+01,1.0294653231144009e+00,9.7246431877042483e-01,1.1049929832106482e+00
4.0000000000000000e+01,1.0387286509905365e+00,9.6417862809100940e-01,1.0971785917455099e+00
4.1000000000000000e+01,1.0306786099182597e+00,9.7039729689545939e-01,1.1019693920624285e+00
4.2000000000000000e+01,1.0361833444789439e+00,9.7109155137052239e-01,1.0996427255910528e+00
4.3000000000000000e+01,1.0353671384807877e+00,9.7881971073612006e-01,1.1084887867718283e+00
4.4000000000000000e+01,1.0436542487539742e+00,9.8341436095916412e-01,1.1109338663192037e+00
4.5000000000000000e+01,1.0471741136391839e+00,9.8229054897569890e-01,1.1073686289781379e+00
4.6000000000000000e+01,1.0448295889769184e+00,9.8943350565648036e-01,1.1152844822698367e+00
4.7000000000000000e+01,1.0523589939631586e+00,9.9640609897581156e-01,1.1227967473198079e+00
4.8000000000000000e+01,1.0596014231478097e+00,9.9239216066601610e-01,1.1175108320549378e+00
4.9000000000000000e+01,1.0549514963604769e+00,9.9889352435108203e-01,1.1241211440995338e+00
5.0000000000000000e+01,1.0615073342253079e+00,1.0035813485862246e+00,1.1272987702925910e+00
5.1000000000000000e+01,1.0654400594394078e+00,1.0004618588325245e+00,1.1227173380618087e+00
5.2000000000000000e+01,1.0615895984471666e+00,1.0067326256827551e+00,1.1292166334689979e+00
5.3000000000000000e+01,1.0679746295758765e+00,1.0111623715760241e+00,1.1322479602737825e+00
5.4000000000000000e+01,1.0717051659249033e+00,1.0170493135857297e+00,1.1380992632024272e+00
5.5000000000000000e+01,1.0775742883940784e+00,1.0134870310427082e+00,1.1334424691206910e+00
5.6000000000000000e+01,1.0734647500816996e+00,1.0128297485644389e+00,1.1308497149114700e+00
5.7000000000000000e+01,1.0718397317379544e+00,1.0086455386429574e+00,1.1259623329507726e+00
5.8000000000000000e+01,1.0673039357968650e+00,1.0024910361591801e+00,1.1201432296431122e+00
5.9000000000000000e+01,1.0613171329011462e+00,9.9734546628948550e-01,1.1148142911396746e+00
6.0000000000000000e+01,1.0560798787145800e+00,9.9179616475184851e-01,1.1093174413914624e+00
6.1000000000000000e+01,1.0505568030716554e+00,9.8749237464854756e-01,1.1044768249492021e+00
