Variable,SRC Mean,Lower Bound,Upper Bound
Q,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
Ks,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
Zv,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
Zm,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
B,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
L,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
Zb,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
Hd,"[0.632265,0.0450146,0.122194,0.00147208,0.000163475,0.000189557,0.00712371,0.0894967]","[0.587935,0.0347153,0.102899,0.000209688,2.38968e-07,2.51804e-07,0.00394469,0.0752902]","[0.680396,0.0563126,0.141244,0.00336694,0.000823113,0.000884846,0.0110628,0.106052]"
